"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Delta basin 1"
"RunName","D:\Conoco 2014\final_drained"
"Pass Finished Date/Time"," 09-30-2014"," 19:53:17"
"RunTime Finished"," 0:04:41"
"RunSeconds Finished",281.3978
"ContinuousSec Finished",281.3978
"Script Name","C:\NCED\SequenceScripts\Sick Scan [SICK_AIR] 1mm Xgrid 4mx4m .SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",1
"Z Count Direction","Positive Up"
"Home Encoder Offsets",93,163,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 Sonar",0,45,-1149,"N/A for Sonar"
"  Ch1 Massa",-100,45,-700,0,912,109
"  Ch2 NotUsed",-122.5,0,0,0,50,500
"  Ch3 NotUsed",-350,-95,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",176.25,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",124
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",25
"LastProfileMM",3992
"ScnCenterLine",3200
"SwathWidthMM",700
"SwathsInScan",6

"SICK Exposure Settings:"
"ExpoTime",2500
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,30977,25.06,3200,871,0,0,0,0
2,53751,26,3200,871,0,0,0,0
3,76177,27.04,3200.03,871,0,0,0,0
4,95710,28.05,3200,871,0,0,0,0
5,113321,29.03,3200,871,0,0,0,0
6,129894,30.02,3200.03,871,0,0,0,0
7,144543,31,3200,871,0,0,0,0
8,160170,32.05,3200,871,0,0,0,0
9,173841,33.04,3200.03,871,0,0,0,0
10,187509,34.05,3200.03,871,0,0,0,0
11,200211,35.05,3200.03,871,0,0,0,0
12,211932,36.01,3200.03,871,0,0,0,0
13,223646,37.01,3200,871,0,0,0,0
14,235366,38.03,3200,871,0,0,0,0
15,246113,39,3200,871,0,0,0,0
16,256850,40,3200.03,871,0,0,0,0
17,267593,41.02,3200.03,871,0,0,0,0
18,278343,42.08,3200.03,871,0,0,0,0
19,288141,43.06,3200,871,0,0,0,0
20,297874,44.06,3200,871,0,0,0,0
21,307637,45.09,3200,871,0,0,0,0
22,316436,46.04,3200,871,0,0,0,0
23,325217,47,3200.03,871,0,0,0,0
24,335014,48.1,3200.03,871,0,0,0,0
25,342795,49,3200.03,871,0,0,0,0
26,351584,50.03,3200,871,0,0,0,0
27,360444,51.08,3200,871,0,0,0,0
28,368584,52.07,3200,871,0,0,0,0
29,376977,53.1,3200,871,0,0,0,0
30,384790,54.07,3200.03,871,0,0,0,0
31,392608,55.07,3200.03,871,0,0,0,0
32,400423,56.08,3200.03,871,0,0,0,0
33,408234,57.1,3200.03,871,0,0,0,0
34,415067,58.01,3200,871,0,0,0,0
35,422883,59.06,3200,871,0,0,0,0
36,432054,60.31,3200,871,0,0,0,0
37,437529,61.08,3200,871,0,0,0,0
38,444370,62.03,3200.03,871,0,0,0,0
39,451202,63,3200.03,871,0,0,0,0
40,459016,64.12,3200.03,871,0,0,0,0
41,465857,65.11,3200.03,871,0,0,0,0
42,473664,66.27,3200.03,871,0,0,0,0
43,479524,67.14,3200,871,0,0,0,0
44,485385,68.02,3200,871,0,0,0,0
45,492225,69.05,3200,871,0,0,0,0
46,499089,70.11,3200,871,0,0,0,0
47,504918,71.02,3200,871,0,0,0,0
