"NCED Data Capture - Text Output File (Comma delineated)"
"None Data [Channel 3]"
"Aux Sensor Latency",0
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","AUX_Z","AUX Value","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

1,1,-749.996,610,857.792,857.315,"11:26:51","0:00:00",0,9419.57223
1,2,-749.996,610,857.792,857.316
1,3,-749.996,610,857.792,857.314
1,4,-749.996,610,857.792,857.318
1,5,-749.996,610,857.792,857.316
1,6,-749.996,610,857.792,857.316
1,7,-749.996,610,857.792,857.316
1,8,-749.996,610,857.792,857.314
1,9,-749.996,610,857.792,857.316
1,10,-749.996,610,857.792,857.314
1,11,-749.996,610,857.792,857.316
1,12,-749.996,610,857.792,857.315
1,13,-749.996,610,857.79,857.311
1,14,-749.996,610,857.792,857.311
1,15,-749.996,610,857.792,857.316
1,16,-749.996,610,857.792,857.316
1,17,-749.996,610,857.792,857.312
1,18,-749.996,610,857.792,857.314
1,19,-749.996,610,857.792,857.313
1,20,-749.996,610,857.792,857.312,"11:26:52","0:00:00",0,9420.528325
2,1,-249.996,466,857.792,857.317,"11:26:58","0:00:00",0,9426.688719
2,2,-249.996,466,857.792,857.316
2,3,-249.996,466,857.792,857.317
2,4,-249.996,466,857.792,857.318
2,5,-249.996,466,857.792,857.317
2,6,-249.996,466,857.792,857.316
2,7,-249.996,466,857.792,857.316
2,8,-249.996,466,857.792,857.314
2,9,-249.996,466,857.792,857.316
2,10,-249.996,466,857.792,857.313
2,11,-249.996,466,857.792,857.316
2,12,-249.996,466,857.79,857.314
2,13,-249.996,466,857.79,857.312
2,14,-249.996,466,857.792,857.313
2,15,-249.996,466,857.792,857.311
2,16,-249.996,466,857.79,857.309
2,17,-249.996,466,857.792,857.316
2,18,-249.996,466,857.792,857.316
2,19,-249.996,466,857.792,857.317
2,20,-249.996,466,857.792,857.315,"11:26:59","0:00:00",0,9427.65456
3,1,238.004,466,857.792,857.31,"11:27:05","0:00:00",0,9433.733911
3,2,238.004,466,857.792,857.309
3,3,238.004,466,857.792,857.309
3,4,238.004,466,857.792,857.31
3,5,238.004,466,857.792,857.31
3,6,238.004,466,857.792,857.312
3,7,238.004,466,857.792,857.31
3,8,238.004,466,857.792,857.311
3,9,238.004,466,857.792,857.311
3,10,238.004,466,857.792,857.308
3,11,238.004,466,857.792,857.309
3,12,238.004,466,857.792,857.31
3,13,238.004,466,857.792,857.312
3,14,238.004,466,857.792,857.311
3,15,238.004,466,857.792,857.309
3,16,238.004,466,857.792,857.311
3,17,238.004,466,857.792,857.313
3,18,238.004,466,857.792,857.312
3,19,238.004,466,857.792,857.314
3,20,238.004,466,857.792,857.311,"11:27:06","0:00:00",0,9434.68426
4,1,726.004,91,857.792,857.315,"11:27:12","0:00:00",0,9440.969543
4,2,726.004,91,857.792,857.313
4,3,726.004,91,857.792,857.314
4,4,726.004,91,857.792,857.314
4,5,726.004,91,857.792,857.315
4,6,726.004,91,857.792,857.316
4,7,726.004,91,857.792,857.314
4,8,726.004,91,857.792,857.313
4,9,726.004,91,857.792,857.314
4,10,726.004,91,857.792,857.314
4,11,726.004,91,857.792,857.316
4,12,726.004,91,857.792,857.313
4,13,726.004,91,857.792,857.314
4,14,726.004,91,857.792,857.314
4,15,726.004,91,857.792,857.314
4,16,726.004,91,857.792,857.314
4,17,726.004,91,857.792,857.309
4,18,726.004,91,857.792,857.312
4,19,726.004,91,857.792,857.313
4,20,726.004,91,857.792,857.312,"11:27:13","0:00:00",0,9441.92074
5,1,1214.004,-372.969,857.792,857.306,"11:27:20","0:00:00",0,9448.599728
5,2,1214.004,-372.969,857.792,857.306
5,3,1214.004,-372.969,857.792,857.309
5,4,1214.004,-372.969,857.792,857.307
5,5,1214.004,-372.969,857.792,857.312
5,6,1214.004,-372.969,857.792,857.309
5,7,1214.004,-372.969,857.79,857.306
