"NCED Data Capture - Text Output File (Comma delineated)"
"Massa Data [Channel 1]"
"Massa Target","Massa Target"
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","MassaProbeZ","Massa Target","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

1,1,-500,750,750,417.9,"11:26:51","0:00:00",0,9419.57223
1,2,-500,750,750,418.5
1,3,-500,750,750,418.8
1,4,-500,750,750,418.9
1,5,-500,750,750,420.6
1,6,-500,750,750,421
1,7,-500,750,750,418.8
1,8,-500,750,750,418.7
1,9,-500,750,750,418.8
1,10,-500,750,750,418.3
1,11,-500,750,750,418
1,12,-500,750,750,417.8
1,13,-500,750,750,417.8
1,14,-500,750,750,418.1
1,15,-500,750,750,420.5
1,16,-500,750,750,420.8
1,17,-500,750,750,420.8
1,18,-500,750,750,420.4
1,19,-500,750,750,420.7
1,20,-500,750,750,419.6,"11:26:52","0:00:00",0,9420.528325
2,1,0,606,750,420.3,"11:26:58","0:00:00",0,9426.688719
2,2,0,606,750,421.2
2,3,0,606,750,421.1
2,4,0,606,750,421.3
2,5,0,606,750,417.7
2,6,0,606,750,418
2,7,0,606,750,418.6
2,8,0,606,750,419.3
2,9,0,606,750,419.5
2,10,0,606,750,417.9
2,11,0,606,750,418.6
2,12,0,606,750,418.3
2,13,0,606,750,417.8
2,14,0,606,750,417.5
2,15,0,606,750,418
2,16,0,606,750,417.6
2,17,0,606,750,418.5
2,18,0,606,750,419.2
2,19,0,606,750,419.4
2,20,0,606,750,420.2,"11:26:59","0:00:00",0,9427.65456
3,1,488,606,750,396.5,"11:27:05","0:00:00",0,9433.733911
3,2,488,606,750,394.5
3,3,488,606,750,394.1
3,4,488,606,750,396.8
3,5,488,606,750,397.3
3,6,488,606,750,397.1
3,7,488,606,750,394.6
3,8,488,606,750,394.6
3,9,488,606,750,395.8
3,10,488,606,750,395
3,11,488,606,750,394.9
3,12,488,606,750,395.1
3,13,488,606,750,395.1
3,14,488,606,750,394.5
3,15,488,606,750,393.8
3,16,488,606,750,393.6
3,17,488,606,750,393
3,18,488,606,750,392.8
3,19,488,606,750,391.6
3,20,488,606,750,391.9,"11:27:06","0:00:00",0,9434.68426
4,1,976,231,750,397.2,"11:27:12","0:00:00",0,9440.969543
4,2,976,231,750,397.7
4,3,976,231,750,397.1
4,4,976,231,750,394.9
4,5,976,231,750,394.6
4,6,976,231,750,395.2
4,7,976,231,750,394.9
4,8,976,231,750,394.3
4,9,976,231,750,394.4
4,10,976,231,750,394.7
4,11,976,231,750,394.7
4,12,976,231,750,394.8
4,13,976,231,750,394.1
4,14,976,231,750,395.9
4,15,976,231,750,396
4,16,976,231,750,396
4,17,976,231,750,398.7
4,18,976,231,750,398.8
4,19,976,231,750,399.7
4,20,976,231,750,399.4,"11:27:13","0:00:00",0,9441.92074
5,1,1464,-233,750,399.9,"11:27:20","0:00:00",0,9448.599728
5,2,1464,-233,750,397
5,3,1464,-233,750,397.3
5,4,1464,-233,750,396.4
5,5,1464,-233,750,396.6
5,6,1464,-233,750,396.7
5,7,1464,-233,750,395.1
5,8,1464,-233,750,394.9
5,9,1464,-233,750,395.3
5,10,1464,-233,750,395.5
5,11,1464,-233,750,395.7
5,12,1464,-233,750,394.8
5,13,1464,-233,750,394.9
5,14,1464,-233,750,396
5,15,1464,-233,750,396.2
5,16,1464,-233,750,396.2
5,17,1464,-233,750,395.1
5,18,1464,-233,750,394.5
5,19,1464,-233,750,392.2
5,20,1464,-233,750,392.4,"11:27:21","0:00:00",0,9449.559725
6,1,1952,-607,750,383.4,"11:27:27","0:00:00",0,9455.813871
6,2,1952,-607,750,385
6,3,1952,-607,750,385.6
6,4,1952,-607,750,385.1
6,5,1952,-607,750,385.4
6,6,1952,-607,750,384.9
6,7,1952,-607,750,385
6,8,1952,-607,750,384.8
6,9,1952,-607,750,385.1
