"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 12:54:43"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",14690.8436
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\Riverine Basin to 9759 Sick Scan [SICK_AIR] 1mm Xgrid [Riverine Basin].SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",3
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",76.5,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",305
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",0
"LastProfileMM",9759
"ScnCenterLine",-1600
"SwathWidthMM",800
"SwathsInScan",5

"SICK Exposure Settings:"
"ExpoTime",8000
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,32978,0.23,-1600.03,1179.99,0,376.8,1014,1179.5
2,51733,1.01,-1600.03,1179.99,0,376.8,1014,1179.5
3,73294,2.04,-1600.03,1179.99,0,376.8,1014,1179.5
4,91766,3.03,-1600.03,1179.99,0,376.8,1014,1179.5
5,110321,4.06,-1600.03,1179.99,0,376.8,1014,1179.5
6,126931,5.06,-1600.03,1179.99,0,376.6,1014,1179.5
7,142557,6.07,-1600.03,1179.99,0,376.6,1014,1179.5
8,156229,7.01,-1600.03,1179.99,0,376.6,1014,1179.5
9,170907,8.07,-1600.03,1179.99,0,376.6,1014,1179.5
10,183574,9.03,-1600.03,1179.99,0,376.6,1014,1179.5
11,197248,10.08,-1600.03,1179.99,0,376.6,1014,1179.5
12,209937,11.05,-1600.03,1179.99,0,376.6,1014,1179.5
13,222666,12.03,-1600.03,1179.99,0,376.6,1014,1179.5
14,235332,13.01,-1600.03,1179.99,0,376.7,1014,1179.5
15,249003,14.06,-1600.03,1179.99,0,376.7,1014,1179.5
16,261703,15.04,-1600.03,1179.99,0,376.7,1014,1179.5
17,275377,16.08,-1600.03,1179.99,0,376.7,1014,1179.5
18,288066,17.05,-1600.03,1179.99,0,376.7,1014,1179.5
19,300765,18.01,-1600.03,1179.99,0,376.7,1014,1179.5
20,314438,19.05,-1600.03,1179.99,0,376.7,1014,1179.5
21,328153,20.1,-1600.03,1179.99,0,376.7,1014,1179.5
22,340801,21.07,-1600.03,1179.99,0,375.5,1014,1179.5
23,353503,22.04,-1600.03,1179.99,0,375.5,1014,1179.5
24,366193,23,-1600.03,1179.99,0,375.5,1014,1179.5
25,379866,24.06,-1600.03,1179.99,0,375.5,1014,1179.5
26,411945,26.51,-1600.03,1179.99,0,375.5,1014,1179.5
27,412165,26.54,-1600.03,1179.99,0,375.5,1014,1179.5
28,418932,27.06,-1600.03,1179.99,0,375.5,1014,1179.5
29,431654,28.03,-1600.03,1179.99,0,375.5,1014,1179.5
30,445339,29.08,-1600.03,1179.99,0,375.5,1014,1179.5
31,457995,30.04,-1600.03,1179.99,0,375.5,1014,1179.5
32,470695,31.01,-1600.03,1179.99,0,375.5,1014,1179.5
33,484367,32.06,-1600.03,1179.99,0,375.5,1014,1179.5
34,497059,33.01,-1600.03,1179.99,0,375.5,1014,1179.5
