"NCED Cart Position Log for SICK Scan - Text Output File (Comma delineated)"
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 13:04:00"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",15247.271
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\Riverine Basin to 9759 Sick Scan [SICK_AIR] 1mm Xgrid [Riverine Basin].SCP"
"Script Scan Type","SICK Laser (in air)"
"Scan Number",3
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",76.5,250,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"SICK Scan Parameters:"
"SICK_PRMS_VERSION","1.2"
"CameraFacing",0,"UpStream"
"RiverRightZero",#FALSE#
"LUTname","C:\NCED\Speed and Parameter Files\SICK Settings\LUTs\DeltaBasin (InAir)_scl 001102_yoff-0556.9_zoff 0000.0_LUT.RAW"

"XY positions are of center line of laser sheet."
"Offsets to Sonar Transducer are (XYZ)",-350,-140,-765
"ProfilesPerBuff",32
"TotalBuffers",305
"EncCyclesPerMM","24"
"mmPerProfile",1
"FirstProfileMM",0
"LastProfileMM",9759
"ScnCenterLine",800
"SwathWidthMM",800
"SwathsInScan",5

"SICK Exposure Settings:"
"ExpoTime",8000
"CycleTime_uS",0
"Gain",4
"Threshold",50
"LaserPower","5"

"Column Headers",1,"Number of header rows before data begins"
"Entry #","Scan_uS","CamX","CamY","CamZ","SNR SedZ","CH1 Return","CH2 Return","CH3 Return"
1,26851,0,800,1179.99,0,362.8,1014,1179.5
2,51759,1,800,1179.99,0,362.8,1014,1179.5
3,73244,2.01,800,1179.99,0,362.8,1014,1179.5
4,92837,3.04,800,1179.99,0,362.8,1014,1179.5
5,134033,5.45,800,1179.99,0,362.8,1014,1179.5
6,135831,5.57,800,1179.99,0,362.8,1014,1179.5
7,143562,6.07,800,1179.99,0,362,1014,1179.5
8,157314,7.01,800,1179.99,0,362,1014,1179.5
9,171886,8.07,800,1179.99,0,362,1014,1179.5
10,184577,9.03,800,1179.99,0,362,1014,1179.5
11,197279,10,800,1179.99,0,362,1014,1179.5
12,210944,11.05,800,1179.99,0,362,1014,1179.5
13,223672,12.04,800,1179.99,0,361.3,1014,1179.5
14,236342,13.01,800,1179.99,0,361.3,1014,1179.5
15,250016,14.06,800,1179.99,0,361.3,1014,1179.5
16,262707,15.04,800,1179.99,0,361.3,1014,1179.5
17,276378,16.08,800,1179.99,0,361.3,1014,1179.5
18,289077,17.04,800,1179.99,0,361.3,1014,1179.5
19,301769,18,800,1179.99,0,361.3,1014,1179.5
20,316437,19.12,800,1179.99,0,361.3,1014,1179.5
21,328142,20.03,800,1179.99,0,360.4,1014,1179.5
22,341814,21.07,800,1179.99,0,360.4,1014,1179.5
23,354505,22.04,800,1179.99,0,360.4,1014,1179.5
24,367206,23,800,1179.99,0,360.4,1014,1179.5
25,380878,24.06,800,1179.99,0,360.4,1014,1179.5
26,393592,25.04,800,1179.99,0,360.4,1014,1179.5
27,428544,27.7,800,1179.99,0,360.4,1014,1179.5
28,428768,27.72,800,1179.99,0,360.4,1014,1179.5
29,432387,28,800,1179.99,0,360.4,1014,1179.5
30,446347,29.08,800,1179.99,0,959.3,1014,1179.5
31,459036,30.04,800,1179.99,0,959.3,1014,1179.5
32,471701,31,800,1179.99,0,959.3,1014,1179.5
33,485374,32.05,800,1179.99,0,959.3,1014,1179.5
34,498067,33.01,800,1179.99,0,959.3,1014,1179.5
35,511737,34.06,800,1179.99,0,959.3,1014,1179.5
36,524439,35.03,800,1179.99,0,959.3,1014,1179.5
37,537131,36,800,1179.99,0,959.3,1014,1179.5
38,550802,37.05,800,1179.99,0,959.4,1014,1179.5
39,563533,38.03,800,1179.99,0,959.4,1014,1179.5
40,577175,39.08,800,1179.99,0,959.4,1014,1179.5
41,589871,40.05,800,1179.99,0,959.4,1014,1179.5
42,602566,41.01,800,1179.99,0,959.4,1014,1179.5
43,616242,42.07,800,1179.99,0,959.4,1014,1179.5
44,628930,43.04,800,1179.99,0,959.4,1014,1179.5
45,642622,44.09,800,1179.99,0,959.4,1014,1179.5
46,655302,45.06,800,1179.99,0,363.6,1014,1179.5
47,667994,46.03,800,1179.99,0,363.6,1014,1179.5
48,682649,47.15,800,1179.99,0,363.6,1014,1179.5
49,694366,48.04,800,1179.99,0,363.6,1014,1179.5
50,728767,50.66,800,1179.99,0,363.6,1014,1179.5
51,728980,50.67,800,1179.99,0,363.6,1014,1179.5
52,733224,51,800,1179.99,0,363.6,1014,1179.5
53,747103,52.08,800,1179.99,0,364.9,1014,1179.5
54,759795,53.04,800,1179.99,0,364.9,1014,1179.5
55,772494,54,800,1179.99,0,364.9,1014,1179.5
56,786195,55.06,800,1179.99,0,364.9,1014,1179.5
57,798866,56.03,800,1179.99,0,364.9,1014,1179.5
58,811558,57,800,1179.99,0,364.9,1014,1179.5
59,831433,58.53,800,1179.99,0,364.9,1014,1179.5
60,837923,59.01,800,1179.99,0,364.9,1014,1179.5
61,851594,60.06,800,1179.99,0,363.1,1014,1179.5
62,864291,61.03,800,1179.99,0,363.1,1014,1179.5
63,876990,62,800,1179.99,0,363.1,1014,1179.5
64,890675,63.06,800,1179.99,0,363.1,1014,1179.5
65,903390,64.03,800,1179.99,0,363.1,1014,1179.5
66,917032,65.07,800,1179.99,0,363.1,1014,1179.5
67,929722,66.04,800,1179.99,0,363.1,1014,1179.5
68,942418,67,800,1179.99,0,363.1,1014,1179.5
69,956097,68.06,800,1179.99,0,363.4,1014,1179.5
70,968786,69.04,800,1179.99,0,363.4,1014,1179.5
71,981488,70,800,1179.99,0,363.4,1014,1179.5
72,995160,71.06,800,1179.99,0,363.4,1014,1179.5
73,1021796,73.09,800,1179.99,0,363.4,1014,1179.5
74,1022008,73.11,800,1179.99,0,363.4,1014,1179.5
75,1034223,74.05,800,1179.99,0,363.4,1014,1179.5
76,1047917,75.09,800,1179.99,0,363.4,1014,1179.5
77,1060589,76.06,800,1179.99,0,362.5,1014,1179.5
78,1073289,77.03,800,1179.99,0,362.5,1014,1179.5
79,1086960,78.07,800,1179.99,0,362.5,1014,1179.5
80,1099652,79.03,800,1179.99,0,362.5,1014,1179.5
81,1112351,80,800,1179.99,0,362.5,1014,1179.5
82,1126056,81.05,800,1179.99,0,362.5,1014,1179.5
83,1138715,82.03,800,1179.99,0,362.5,1014,1179.5
84,1152387,83.07,800,1179.99,0,362.9,1014,1179.5
85,1165092,84.04,800,1179.99,0,362.9,1014,1179.5
86,1177779,85,800,1179.99,0,362.9,1014,1179.5
87,1191451,86.06,800,1179.99,0,362.9,1014,1179.5
88,1204152,87.04,800,1179.99,0,362.9,1014,1179.5
89,1216843,88,800,1179.99,0,362.9,1014,1179.5
90,1230517,89.06,800,1179.99,0,362.9,1014,1179.5
91,1243251,90.03,800,1179.99,0,362.9,1014,1179.5
92,1256885,91.07,800,1179.99,0,362.4,1014,1179.5
93,1269584,92.04,800,1179.99,0,362.4,1014,1179.5
94,1282336,93.01,800,1179.99,0,362.4,1014,1179.5
95,1321672,96.03,800,1179.99,0,362.4,1014,1179.5
96,1321883,96.04,800,1179.99,0,362.4,1014,1179.5
97,1322043,96.05,800,1179.99,0,362.4,1014,1179.5
98,1335011,97.05,800,1179.99,0,362.4,1014,1179.5
99,1348717,98.09,800,1179.99,0,362.4,1014,1179.5
100,1361381,99.07,800,1179.99,0,363.1,1014,1179.5
101,1374079,100.04,800,1179.99,0,363.1,1014,1179.5
102,1387748,101.09,800,1179.99,0,363.1,1014,1179.5
103,1400451,102.05,800,1179.99,0,363.1,1014,1179.5
104,1413142,103.01,800,1179.99,0,363.1,1014,1179.5
105,1426812,104.06,800,1179.99,0,363.1,1014,1179.5
106,1439513,105.04,800,1179.99,0,363.1,1014,1179.5
107,1453195,106.08,800,1179.99,0,363.1,1014,1179.5
108,1465908,107.05,800,1179.99,0,363.2,1014,1179.5
109,1478578,108.01,800,1179.99,0,363.2,1014,1179.5
110,1492249,109.06,800,1179.99,0,363.2,1014,1179.5
111,1504940,110.03,800,1179.99,0,363.2,1014,1179.5
112,1517643,111,800,1179.99,0,363.2,1014,1179.5
113,1531313,112.06,800,1179.99,0,363.2,1014,1179.5
114,1544007,113.03,800,1179.99,0,363.2,1014,1179.5
115,1557677,114.07,800,1179.99,0,363.5,1014,1179.5
116,1570377,115.04,800,1179.99,0,363.5,1014,1179.5
117,1583101,116.01,800,1179.99,0,363.5,1014,1179.5
118,1617229,118.63,800,1179.99,0,363.5,1014,1179.5
119,1617447,118.64,800,1179.99,0,363.5,1014,1179.5
120,1622133,119.01,800,1179.99,0,363.5,1014,1179.5
121,1635809,120.06,800,1179.99,0,363.5,1014,1179.5
122,1648505,121.03,800,1179.99,0,363.5,1014,1179.5
123,1662177,122.07,800,1179.99,0,364.1,1014,1179.5
124,1674869,123.05,800,1179.99,0,364.1,1014,1179.5
125,1687569,124.01,800,1179.99,0,364.1,1014,1179.5
126,1701243,125.06,800,1179.99,0,364.1,1014,1179.5
127,1713932,126.03,800,1179.99,0,364.1,1014,1179.5
128,1727605,127.07,800,1179.99,0,364.1,1014,1179.5
129,1740307,128.04,800,1179.99,0,364.1,1014,1179.5
130,1753001,129,800,1179.99,0,364.1,1014,1179.5
131,1766669,130.06,800,1179.99,0,369.6,1014,1179.5
132,1779370,131.03,800,1179.99,0,369.6,1014,1179.5
133,1793042,132.08,800,1179.99,0,369.6,1014,1179.5
134,1805764,133.05,800,1179.99,0,369.6,1014,1179.5
135,1818434,134.01,800,1179.99,0,369.6,1014,1179.5
136,1832106,135.06,800,1179.99,0,369.6,1014,1179.5
137,1844797,136.04,800,1179.99,0,369.6,1014,1179.5
138,1857978,137.05,800,1179.99,0,369.6,1014,1179.5
139,1870580,138,800,1179.99,0,369.6,1014,1179.5
140,1883888,139.03,800,1179.99,0,362.4,1014,1179.5
141,1917179,141.56,800,1179.99,0,362.4,1014,1179.5
142,1917391,141.58,800,1179.99,0,362.4,1014,1179.5
143,1922957,142.01,800,1179.99,0,362.4,1014,1179.5
144,1936634,143.06,800,1179.99,0,362.4,1014,1179.5
145,1949294,144.03,800,1179.99,0,362.4,1014,1179.5
146,1961990,145,800,1179.99,0,363.4,1014,1179.5
147,1975665,146.05,800,1179.99,0,363.4,1014,1179.5
148,1988362,147.01,800,1179.99,0,363.4,1014,1179.5
149,2002035,148.07,800,1179.99,0,363.4,1014,1179.5
150,2015702,149.11,800,1179.99,0,363.4,1014,1179.5
151,2028429,150.09,800,1179.99,0,363.4,1014,1179.5
152,2041101,151.05,800,1179.99,0,363.4,1014,1179.5
153,2053789,152,800,1179.99,0,363.4,1014,1179.5
154,2067468,153.06,800,1179.99,0,364.3,1014,1179.5
155,2080158,154.03,800,1179.99,0,364.3,1014,1179.5
156,2092860,155,800,1179.99,0,364.3,1014,1179.5
157,2106531,156.05,800,1179.99,0,364.3,1014,1179.5
158,2119223,157.01,800,1179.99,0,364.3,1014,1179.5
159,2132900,158.06,800,1179.99,0,364.3,1014,1179.5
160,2145626,159.04,800,1179.99,0,364.3,1014,1179.5
161,2158288,160,800,1179.99,0,364.3,1014,1179.5
162,2172316,161.08,800,1179.99,0,364.4,1014,1179.5
163,2208923,163.89,800,1179.99,0,364.4,1014,1179.5
164,2209143,163.9,800,1179.99,0,364.4,1014,1179.5
165,2210550,164,800,1179.99,0,364.4,1014,1179.5
166,2223718,165.01,800,1179.99,0,364.4,1014,1179.5
167,2237391,166.06,800,1179.99,0,364.4,1014,1179.5
168,2250093,167.04,800,1179.99,0,364.4,1014,1179.5
169,2263774,168.08,800,1179.99,0,364.4,1014,1179.5
170,2276454,169.05,800,1179.99,0,364.3,1014,1179.5
171,2289158,170.03,800,1179.99,0,364.3,1014,1179.5
172,2302828,171.07,800,1179.99,0,364.3,1014,1179.5
173,2315520,172.04,800,1179.99,0,364.3,1014,1179.5
174,2328219,173.01,800,1179.99,0,364.3,1014,1179.5
175,2341892,174.06,800,1179.99,0,364.3,1014,1179.5
176,2354582,175.03,800,1179.99,0,364.3,1014,1179.5
177,2367455,176,800,1179.99,0,364.3,1014,1179.5
178,2380950,177.04,800,1179.99,0,364.5,1014,1179.5
179,2393651,178,800,1179.99,0,364.5,1014,1179.5
180,2407326,179.06,800,1179.99,0,364.5,1014,1179.5
181,2420014,180.03,800,1179.99,0,364.5,1014,1179.5
182,2433687,181.07,800,1179.99,0,364.5,1014,1179.5
183,2446388,182.04,800,1179.99,0,364.5,1014,1179.5
184,2459078,183,800,1179.99,0,364.5,1014,1179.5
185,2472767,184.06,800,1179.99,0,364.5,1014,1179.5
186,2510578,186.95,800,1179.99,0,372.6,1014,1179.5
187,2510790,186.97,800,1179.99,0,372.6,1014,1179.5
188,2511272,187,800,1179.99,0,372.6,1014,1179.5
